,Row.names,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Chao1,se.chao1,Shannon,Simpson
119,H1_9_3,Huagalina,Hancock,H1,A,H1_8,H1_9,3,Negative,G9,1,0.86,0,2.79,3.65,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,148,0,4.445065037,0.979958759
120,H1_9_5,Huagalina,Hancock,H1,A,H1_7,H1_9,5,Negative,B9,1,0.27,21.39,3.71,25.37,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-3.6525,193,0,4.415096818,0.976815122
123,H2_1_5,Huagalina,Winterfell,H2,A,H2_7,H2_1,5,Negative,C1,2,1.27,21.21,2.76,25.24,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-3.8325,59,0,2.985727215,0.918190479
125,H2_2_3,Huagalina,Winterfell,H2,A,H2_7,H2_2,3,Negative,F2,1,0.33,0,4.23,4.56,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,138,0,4.540600841,0.986269391
126,H2_2_5,Huagalina,Winterfell,H2,A,H2_7,H2_2,5,Negative,C2,2,0.99,29.59,4.71,35.29,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,4.5475,754.1666667,0.543575715,5.867169517,0.994335216
127,H2_3_3,Huagalina,Winterfell,H2,A,H2_7,H2_3,3,Negative,F3,1,0.61,0,4.15,4.76,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.24,73,0,3.975944317,0.976778161
129,H2_4_3,Huagalina,Winterfell,H2,A,H2_7,H2_4,3,Negative,F4,1,0.71,0.06,2.02,2.79,,NA,NA,NA,NA,NA,NO TUBER,Huagalina_Sterile_S,Sterile,S,0.24,4,0.24,-0.18,155,0,4.666484923,0.986844786
130,H2_4_5,Huagalina,Winterfell,H2,A,H2_7,H2_4,5,Negative,C4,2,0.4,20.64,3.47,24.51,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-4.4025,630,2.343853834,5.575995982,0.989731706
132,H2_6_5,Huagalina,Winterfell,H2,A,H2_7,H2_6,5,Negative,C6,2,0.96,18.12,3.86,22.94,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,25.0425,4,2.835948915,-6.9225,594,1.817797144,5.705856987,0.994006715
133,H2_7_2,Huagalina,Winterfell,H2,A,H2_4,H2_7,2,Negative,C7,1,2.5,1.78,3.27,7.55,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,2.5325,4,1.47172447,-0.7525,136.3333333,0.925513808,4.107420011,0.967251962
134,H2_7_4,Huagalina,Winterfell,H2,A,H2_7,H2_7,4,Negative,H7,1,0.44,4.61,3.67,8.72,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,13.41,4,3.0857333,-8.8,207,0.249395404,4.786988455,0.987324342
140,PC1_1_3,Papa Cacho,Hancock,PC1,C,PC1_10,PC1_1,3,Negative,A12,1,1.75,24.62,7.25,33.62,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,12.23,160,0,4.434566772,0.979231495
142,PC1_10_5,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_10,5,Negative,A10,2,1.81,45.87,5.66,53.34,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,7.2625,285,2.342213678,5.012207694,0.986735609
145,PC1_4_3,Papa Cacho,Hancock,PC1,C,PC1_10,PC1_4,3,Negative,D12,1,2.06,8.99,9.83,20.88,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-3.4,118,0,4.282703236,0.979256373
146,PC1_4_5,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_4,5,Negative,A4,2,2.14,50.14,10.43,62.71,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,11.5325,556,1.580996635,5.697558577,0.99467549
148,PC1_5_3,Papa Cacho,Hancock,PC1,C,PC1_10,PC1_5,3,Negative,E12,1,1.98,3.03,9.2,14.21,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-9.36,117,0,4.42973414,0.985223537
149,PC1_5_4,Papa Cacho,Hancock,PC1,C,PC1_6,PC1_5,4,Negative,A5,2,0.03,27.61,1.48,29.12,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,25.55,3,4.01661964,2.06,117,0.248929331,4.397898205,0.982947952
151,PC1_6_3,Papa Cacho,Hancock,PC1,C,PC1_10,PC1_6,3,Negative,F12,1,1.6,0,8.08,9.68,,NA,NA,NA,NA,NA,NO TUBER,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-12.39,88,0,4.215075371,0.981577853
156,PC1_8_5,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_8,5,Negative,A8,2,1.06,29.93,5.56,36.55,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,-8.6775,552.5,1.027304458,5.427607468,0.988696671
157,PC1_9_5,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_9,5,Negative,A9,2,1.35,25.31,5.27,31.93,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,-13.2975,603.5,1.298679305,5.426272969,0.989283756
159,PC2_1_3,Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_1,3,Negative,B1,1,2.6,0,11.08,13.68,,NA,NA,NA,NA,NA,NO TUBER,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-12.39,51,0,3.568978399,0.96344049
160,PC2_1_5,Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_1,5,Negative,B1,2,3.57,43.47,12.16,59.2,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,4.8625,62,0,3.398398561,0.943425035
163,PC2_2_5,Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_2,5,Negative,B2,2,1.15,44.15,8.81,54.11,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,5.5425,579,0.071366862,5.658904457,0.992432551
165,PC2_3_3,Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_3,3,Negative,B3,1,1.28,2.05,9.03,12.36,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-10.34,83,0,4.077880716,0.977933463
167,PC2_4_3,Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_4,3,Negative,B4,1,1.41,0.88,7.15,9.44,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-11.51,109,0,4.185875511,0.977662267
171,PC2_5_5,Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_5,5,Negative,B5,2,1.75,31.38,9.67,42.8,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,-7.2275,428,0.124853887,5.278070136,0.990328571
175,PC2_7_5,Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_7,5,Negative,B7,2,1.51,40.07,5.88,47.46,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,1.4625,648.875,2.257185572,5.802681648,0.994200078
176,PC2_8_4,Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_8,4,Negative,tube,NA,0.05,12.21,2.98,15.24,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,25.55,3,4.01661964,-13.34,196,0.099744572,4.715177686,0.985144246
179,R1_1_2,Norkodah,Hancock,N1,M,R1_4,R1_1,2,Negative,A1,3,0.1,40.88,NA,40.98,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-4.425,118,0,3.872802468,0.961357293
184,R1_4_4,Ranger,Hancock,R1,M,R1_7,R1_4,4,Negative,E4,1,0.07,24.74,1.78,26.59,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-5.1725,102.3333333,0.925253707,4.204443363,0.97884967
185,R1_4_5,Ranger,Hancock,R1,M,R1_4,R1_4,5,Negative,Tube,NA,0.71,21.91,6.51,29.13,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,36.9475,4,3.315504926,-15.0375,507.1111111,0.409702254,4.694741924,0.959606288
187,R1_7_3,Ranger,Hancock,R1,M,R1_3,R1_7,3,Negative,H7,1,0.39,0,1.94,2.33,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,-0.33,214,0.166276803,4.735546368,0.98291535
189,R1_8_3,Ranger,Hancock,R1,M,R1_3,R1_8,3,Negative,H8,1,0.59,0.84,2.03,3.46,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,0.51,183,0.166210669,4.630904218,0.984370349
191,R1_9_3,Ranger,Hancock,R1,M,R1_3,R1_9,3,Negative,H9,1,0.33,0.6,2.18,3.11,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,0.27,163,2.339970111,4.634403771,0.986306338
192,R2_1_3,Ranger,Winterfell,R2,M,R2_2,R2_1,3,Negative,B1,2,0.54,1.04,4.55,6.13,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,0.71,124,0.49797979,4.136296322,0.968992895
193,R2_10_3,Ranger,Winterfell,R2,M,R2_2,R2_10,3,Negative,B10,2,0.61,0,4.36,4.97,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,-0.33,182,0.498624482,4.833293423,0.989043988
194,R2_10_4,Ranger,Winterfell,R2,M,R2_10,R2_10,4,Negative,C10,2,0.03,20.35,1.78,22.16,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-9.5625,137,0,4.427920501,0.983646082
197,R2_4_3,Ranger,Winterfell,R2,M,R2_2,R2_4,3,Negative,B4,2,0.26,1.41,3.59,5.26,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,1.08,80,0,3.974830636,0.975062204
199,R2_5_5,Ranger,Winterfell,R2,M,R2_10,R2_5,5,Negative,Tube,NA,0.44,57.71,3.92,62.07,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,36.9475,4,3.315504926,20.7625,468.75,1.423611165,5.358606877,0.98909133
