#OTUID	taxonomy	confidence
01a8570735f0c1bbf816bf6af4e1fa62	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae	0.8869203159018098
01ab0357107b2c20feac3b5e31f526bc	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84	0.9995962718133553
01adc33490f823923a47776ea0c128ca	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__Hyphomicrobium_sp.	0.9771619019531599
01b5dbc0edac005f89dd53b2d9ef3557	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.8566123875291664
01b81b6f0c18dce21802192580068082	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales	0.9993909248420161
01b95b0c3b4ca2ef21f4d064f6ff6799	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__0319-7L14; f__0319-7L14; g__0319-7L14; s__uncultured_actinobacterium	0.990306757648489
01b968dfffa765de6c6673169920ed2d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	0.9683667193591997
01bb56d84b5f9e266f234a5c109123d0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae	0.9999989933396732
01c1fe93809266256bb6f35e3fa2bffc	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales	0.7571617659007142
01c2ad037f1e1830769813ae0759f2dc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	0.9999856452136424
01c2ec7f44f2240f08b4b3a2c62b03d7	d__Bacteria; p__Patescibacteria; c__Dojkabacteria; o__Dojkabacteria; f__Dojkabacteria; g__Dojkabacteria	0.7335356316972096
01c5140c5c1e7c7f8028f9e7f08965f6	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__uncultured_Sorangiineae	0.9863999146028579
01c60f99b051c71ac683b816228acab1	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae	0.9975716476294684
01caf588fef6d68a332f5ccb40898132	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia; s__bacterium_enrichment	0.7259317348883743
01cbf16ea5b03b6ce2e65b16a9e605e4	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae	0.9999990312819447
01d5b88d2cd491588effe120e94c0289	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niabella	0.9999264135611654
01d67f7736492abb9bc6efee58ca9f31	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Steroidobacter; s__Steroidobacter_agariperforans	0.7310687465315246
01dfe6b3c7a500952d158d53a2e91857	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	0.9992354881693556
01e271603e28fb2993cb5981f2587363	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio	0.9999418302689224
01e6411595a865dfd5e3e457063ea001	d__Bacteria	0.9687762398562143
01e855e79a9593860e843b2071e8790f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__TRA3-20; g__TRA3-20	0.9726711178622183
01f16498ac16417bd3c76472fbea57dd	Unassigned	0.7546965092315737
01f404e72eae9f0d67842dec62c426e5	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae	0.9999874033735215
01f701f1db3f9107d412962ed7a22840	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae	0.7027607777112482
01fa1c2bd5d17df6f32c2929c0760f4d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Cesiribacter	0.9999585373272101
01fad5856600fcb48d93fc189367f3e2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio	0.99672780017648
01fd1266cc7bda5c7e281de71416dde6	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__bacterium_YC-ZSS-LKJ159	0.8877032888766839
