Genotype,Soil_type,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Papa Cacho,Hancock,PC1,C,PC1_8,PC1_7,4,P,A7,2,0.08,34.84,2.92,37.84,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_8,PC1_8,4,P,A8,2,0.04,26.89,2.55,29.48,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_5,4,N,tube,,0.05,23.67,2.73,26.45,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_6,4,N,tube,,NA,NA,NA,NA,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_8,4,N,tube,,0.05,12.21,2.98,15.24,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_3,4,P,tube,,NA,NA,NA,NA,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_1,4,P,tube,,0.13,20.27,3.01,23.41,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_7,4,P,tube,,0.08,27.45,3.34,30.87,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_9,4,P,tube,,0.07,12.55,2.7,15.32,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_10,4,P,tube,,NA,NA,NA,NA,,,,,,,
Ranger,Sterile,R2,M,none,R2_2,4,S,C2,2,0.07,23.8,0.71,24.58,,,,,,,
Ranger,Sterile,R2,M,none,R2_5,4,S,C5,2,0.04,29.89,0.61,30.54,,,,,,,
Ranger,Sterile,R1,M,none,R1_2,4,S,E2,1,0.05,34.61,2.2,36.86,,,,,,,
Ranger,Sterile,R1,M,none,R1_3,4,S,E3,1,0.14,31.35,1.09,32.58,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_10,4,P,E10,1,0.13,44.99,1.99,47.11,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_5,4,P,E5,1,0.06,31.89,3.42,35.37,,,,,,,
