Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_5,5,P,A5,2,2.08,46.89,6.64,55.61,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_6,6,P,A6,2,0.69,37.72,4.51,42.92,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_7,7,S,A7,2,2.04,52.04,5.83,59.91,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_8,8,N,A8,2,1.06,29.93,5.56,36.55,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_9,9,N,A9,2,1.35,25.31,5.27,31.93,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_10,10,N,A10,2,1.81,45.87,5.66,53.34,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_1,1,N,B1,2,3.57,43.47,12.16,59.2,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_2,2,N,B2,2,1.15,44.15,8.81,54.11,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_3,3,S,B3,2,1.36,43.3,8.62,53.28,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_4,4,P,B4,2,1.31,37.71,6.11,45.13,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_5,5,N,B5,2,1.75,31.38,9.67,42.8,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_6,6,P,B6,2,1.2,37.52,5.96,44.68,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_7,7,N,B7,2,1.51,40.07,5.88,47.46,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_8,8,P,B8,2,1.28,33.69,10.12,45.09,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_9,9,S,B9,2,0.73,21.08,3.63,25.44,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_10,10,P,B10,2,1.62,27.02,9.3,37.94,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_1,1,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_2,2,P,Tube,,0.17,34.65,3.08,37.9,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_3,3,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_4,4,N,Tube,,0.71,21.91,6.51,29.13,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_5,5,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_6,6,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_7,7,P,Tube,,0.4,38.8,3.3,42.5,,,,,,,
Ranger,Sterile,R1,M,none,R1_8,8,S,Tube,,0.27,28.33,2.32,30.92,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_9,9,,Tube,,,,,,,,,,,,
Ranger,Sterile,R1,M,none,R1_10,10,S,Tube,,0.17,35.39,2.97,38.53,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_1,1,,Tube,,,,,,,,,,,,
Ranger,Sterile,R2,M,none,R2_2,2,S,Tube,,0.44,43.35,3.2,46.99,,,,,,,
Ranger,Sterile,R2,M,none,R2_3,3,S,Tube,,0.36,40.72,3.93,45.01,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_4,4,,Tube,,,,,,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_5,5,N,Tube,,0.44,57.71,3.92,62.07,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_6,6,N,Tube,,0.49,37.93,3.72,42.14,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_7,7,P,Tube,,0.56,35.2,3.84,39.6,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_8,8,P,Tube,,0.22,29.64,4.01,33.87,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_9,9,,Tube,,,,,0,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_10,10,,Tube,,,,,0,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_1,1,P,Tube,,1.57,61.91,7.05,70.53,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_2,2,P,Tube,,1.65,60.44,8.12,70.21,,,,,,,
Snowden,Sterile,S1,M,none,S1_3,3,S,Tube,,1.2,62.37,5.68,69.25,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_4,4,,Tube,,,,,0,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_5,5,N,Tube,,0.9,58.6,6.1,65.6,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_6,6,N,Tube,,,47.58,5.19,52.77,,,,,,,
Snowden,Sterile,S1,M,none,S1_7,7,S,Tube,,0.56,49.74,3.22,53.52,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_8,8,P,Tube,,1.22,53.73,6.39,61.34,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_9,9,P,Tube,,2.2,54.59,9.03,65.82,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_10,10,S,Tube,,1.8,26.81,8.34,36.95,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_1,1,P,Tube,,1.65,13.92,2.88,18.45,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_2,2,P,Tube,,1.07,36.6,1.6,39.27,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_3,3,N,Tube,,0.89,48.35,4.25,53.49,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_4,4,P,Tube,,0.9,40.74,3.35,44.99,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_5,5,N,Tube,,1.23,45.31,4.77,51.31,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_6,6,N,Tube,,0.87,41.19,2.63,44.69,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_7,7,P,Tube,,2.08,34.38,4.09,40.55,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_8,8,N,Tube,,0.88,43.64,4.33,48.85,,,,,,,
Snowden,Sterile,S2,M,none,S2_9,9,S,Tube,,0.47,40.34,3.31,44.12,,,,,,,
Snowden,Sterile,S2,M,none,S2_10,10,S,Tube,,1.03,28.01,3,32.04,,,,,,,
Wac 5,Sterile,W1,A,none,W1_1,1,S,A1,1,0.82,30.78,5.11,36.71,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_2,2,P,A2,1,0.5,36.17,4.99,41.66,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_3,3,P,A3,1,0.25,27.92,3.03,31.2,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_4,4,N,A4,1,,,,0,,,,,,,
Wac 5,Sterile,W1,A,none,W1_5,5,S,A5,1,,,,0,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_6,6,N,A6,1,0.82,24.65,4.36,29.83,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_7,7,N,A7,1,0.55,16.08,4.8,21.43,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_8,8,P,A8,1,0.25,11.39,1.97,13.61,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_9,9,N,A9,1,,,,0,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_10,10,P,A10,1,,,,0,,,,,,,
Wac 5,Sterile,W2,A,none,W2_1,1,S,E1,1,0.5,29.94,2.53,32.97,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_2,2,P,E2,1,0.61,20.69,2.95,24.25,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_3,3,N,E3,1,0.79,20.42,3.85,25.06,,,,,,,
Wac 5,Sterile,W2,A,none,W2_4,4,S,E4,1,NA,NA,NA,0,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_5,5,P,E5,1,0.27,17.57,2.41,20.25,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_6,6,N,E6,1,0.6,17.95,2.51,21.06,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_7,7,P,E7,1,0.76,19.93,2.71,23.4,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_8,8,N,E8,1,0.53,25.45,3.02,29,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_9,9,N,E9,1,0.31,19.37,3.05,22.73,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_10,10,P,E10,1,NA,NA,NA,0,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_1,1,P,H1,1,0.74,20,4.94,25.68,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_2,2,N,H2,1,0.62,17.37,4.32,22.31,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_3,3,N,H3,1,0.27,8.72,3.39,12.38,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_4,4,N,H4,1,0.31,17.13,3.82,21.26,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_5,5,S,H5,1,0.18,7.38,2.4,9.96,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_6,6,N,H6,1,0.6,5.61,2.76,8.97,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_7,7,P,H7,1,0.37,6.86,2.74,9.97,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_8,8,P,H8,1,0.23,13.35,2,15.58,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_9,9,S,H9,1,0.19,4.53,3.49,8.21,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_10,10,P,H10,1,0.34,7.53,3.32,11.19,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_1,1,S,F1,1,0.5,4.79,7.45,12.74,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_2,2,N,F2,1,0.32,0,4,4.32,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_3,3,P,F3,1,0.28,11.02,3.5,14.8,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_4,4,P,F4,1,0.29,6.48,3.45,10.22,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_5,5,N,F5,1,0.26,12.24,3.52,16.02,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_6,6,N,F6,1,0.18,5.52,7.76,13.46,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_7,7,S,F7,1,0.42,8.14,5.94,14.5,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_8,8,P,F8,1,,,2.13,2.13,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_9,9,N,F9,1,,,,0,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_10,10,P,F10,1,0.29,2.07,3.58,5.94,,,,,,,
