Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Wac 5,Hancock,W1,andigenum,Hancock,W1_2,1,none,?,1,,5.53,12.08,17.61,,,,,,,
Wac 5,Hancock,W1,andigenum,Hancock,W1_3,1,none,,1,4.85,,,4.85,,,,,,,
Wac 5,Hancock,W1,andigenum,Hancock,W1_4,1,none,?,1,,4.43,12.15,16.58,,,,,,,
Wac 5,Sterile,W1,andigenum,Sterile,W1_5,1,none,,1,,,,0,,,,,,,
Wac 5,Hancock,W1,andigenum,Hancock,W1_6,1,none,?,1,,42.38,,42.38,,,,,,,
Wac 5,Sterile,W2,andigenum,Sterile,W2_1,1,none,,1,,,,0,,,,,,,
Wac 5,Winterfell,W2,andigenum,Winterfell,W2_2,1,none,A11,1,7.55,21.47,11.88,40.9,Y,,,,,,
Wac 5,Winterfell,W2,andigenum,Winterfell,W2_3,1,none,A12,1,11.46,13.69,12.18,37.33,Y,,,,,,
Wac 5,Sterile,W2,andigenum,Sterile,W2_4,1,none,,1,,,,0,,,,,,,
Wac 5,Winterfell,W2,andigenum,Winterfell,W2_5,1,none,A4,1,2.92;9.46,27.75,12.91,40.66,Y,,,,,,
Wac 5,Winterfell,W2,andigenum,Winterfell,W2_6,1,none,A3,1,2.92;3.18,1.78,13.13,14.91,Y,,,,,,
Wac 663,Sterile,WA1,andigenum,Sterile,WA1_1,1,none,,1,,,,0,,,,,,,
Wac 663,Hancock,WA1,andigenum,Hancock,WA1_2,1,none,B5,1,1.05,3.07,10.92,15.04,Y,,,,,,
Wac 663,Hancock,WA1,andigenum,Hancock,WA1_3,1,none,,1,,,,0,,,,,,,
Wac 663,Hancock,WA1,andigenum,Hancock,WA1_4,1,none,B10,1,,4.43,,4.43,Y,,,,,,
Wac 663,Sterile,WA1,andigenum,Sterile,WA1_5,1,none,,1,,,,0,,,,,,,
Wac 663,Hancock,WA1,andigenum,Hancock,WA1_6,1,none,D9,1,1.8,14.78,15.1,31.68,Y,,,,,,
Wac 663,Sterile,WA2,andigenum,Sterile,WA2_1,1,none,,1,,,,0,,,,,,,
Wac 663,Winterfell,WA2,andigenum,Winterfell,WA2_2,1,none,D2,1,4.9,2.69,14.55,22.14,Y,,,,,,
Wac 663,Sterile,WA2,andigenum,Sterile,WA2_3,1,none,,1,,,,0,,,,,,,
Wac 663,Winterfell,WA2,andigenum,Winterfell,WA2_4,1,none,D1,1,1.18,,10.06,11.24,Y,,,,,,
Wac 663,Winterfell,WA2,andigenum,Winterfell,WA2_5,1,none,,1,,,17.97,17.97,,,,,,,
Wac 663,Winterfell,WA2,andigenum,Winterfell,WA2_6,1,none,D10,1,3.09,,11.98,15.07,Y,,,,,,
Burbank,Hancock,B1,modern,B1_1,B1_4,2,N,A4,1,0.66,29.18,4.09,33.93,,GH_2018_Box_1,A1,,,,
Burbank,Hancock,B1,modern,B1_6,B1_5,2,P,A5,1,0.66,70.95,2.7,74.31,,GH_2018_Box_1,A2,,,,
Burbank,Winterfell,B2,modern,B2_3,B2_6,2,N,B6,2,0.27,55.56,2.59,58.42,,GH_2018_Box_1,A3,,,,
Burbank,Winterfell,B2,modern,B2_6,B2_5,2,P,B5,2,,83.7,3.43,87.13,,GH_2018_Box_1,A4,,,,
Cor.C 95,Hancock,CC1,chiletanum,CC1_1,CC1_9,2,P,A9,1,3.42,32.28,4.22,39.92,,GH_2018_Box_1,A6,,,,
Cor.C 95,Hancock,CC1,chiletanum,CC1_4,CC1_1,2,N,A1,1,4.79,16.69,5.76,27.24,,GH_2018_Box_1,A6,,,,
Cor.C 95,Winterfell,CC2,chiletanum,CC2_3,CC2_1,2,N,B1,2,,44.15,2.77,46.92,,GH_2018_Box_1,A7,,,,Could not find CC2_2
Cor.C 95,Winterfell,CC2,chiletanum,CC2_4,CC2_10,2,P,C10,2,1.06,67.89,3.76,72.71,,GH_2018_Box_1,A8,,,,
G.Chili,Hancock,GC1,chiletanum,GC1_3,GC1_3,2,P,H3,1,0.62,63.6,2.87,67.09,,GH_2018_Box_1,A9,,,,
