"","combo_line","Genotype","Soil_type","Selection","Iteration","avg","n","se"
"111","Papa Cacho_Sterile_S","Papa Cacho","Sterile","S",2,21.985,4,13.7422126432876
"112","Papa Cacho_Sterile_S","Papa Cacho","Sterile","S",3,12.39,4,5.50221319107139
"113","Papa Cacho_Sterile_S","Papa Cacho","Sterile","S",4,25.55,3,4.01661964011199
"114","Papa Cacho_Sterile_S","Papa Cacho","Sterile","S",5,38.6075,4,6.51934221502957
"115","Papa Cacho_Winterfell_N","Papa Cacho","Winterfell","N",2,24.73,3,11.4785771475969
"116","Papa Cacho_Winterfell_N","Papa Cacho","Winterfell","N",3,0.7325,4,0.485684654208194
"117","Papa Cacho_Winterfell_N","Papa Cacho","Winterfell","N",4,17.94,2,5.73
"118","Papa Cacho_Winterfell_N","Papa Cacho","Winterfell","N",5,39.7675,4,2.93479804813437
"119","Papa Cacho_Winterfell_none","Papa Cacho","Winterfell","none",1,37.0175,4,13.414496123597
"120","Papa Cacho_Winterfell_P","Papa Cacho","Winterfell","P",2,35.01,4,12.0617736396159
"121","Papa Cacho_Winterfell_P","Papa Cacho","Winterfell","P",3,6.45,4,3.0963042486164
"122","Papa Cacho_Winterfell_P","Papa Cacho","Winterfell","P",4,20.09,3,4.30220098709176
"123","Papa Cacho_Winterfell_P","Papa Cacho","Winterfell","P",5,33.985,4,2.49950161698954
"124","Ranger_Hancock_N","Ranger","Hancock","N",3,0.48,3,0.249799919935936
"125","Ranger_Hancock_N","Ranger","Hancock","N",4,29.745,4,2.49811095296693
"126","Ranger_Hancock_N","Ranger","Hancock","N",5,21.91,1,NA
"127","Ranger_Hancock_P","Ranger","Hancock","P",3,0.12,4,0.12
"128","Ranger_Hancock_P","Ranger","Hancock","P",4,36.815,4,2.83877467698066
"129","Ranger_Hancock_P","Ranger","Hancock","P",5,36.725,2,2.075
"130","Ranger_Sterile_S","Ranger","Sterile","S",3,0.33,2,0.33
"131","Ranger_Sterile_S","Ranger","Sterile","S",4,29.9125,4,2.26377404275839
"132","Ranger_Sterile_S","Ranger","Sterile","S",5,36.9475,4,3.31550492635235
"133","Ranger_Winterfell_N","Ranger","Winterfell","N",3,0.6125,4,0.361602336828732
"134","Ranger_Winterfell_N","Ranger","Winterfell","N",4,27.8825,4,3.74183416477356
"135","Ranger_Winterfell_N","Ranger","Winterfell","N",5,47.82,2,9.89
"136","Ranger_Winterfell_P","Ranger","Winterfell","P",3,1.065,4,0.847874794215907
"137","Ranger_Winterfell_P","Ranger","Winterfell","P",4,18.9775,4,6.3727471509546
"138","Ranger_Winterfell_P","Ranger","Winterfell","P",5,32.42,2,2.78
"139","Snowden_Hancock_N","Snowden","Hancock","N",2,55.6625,4,3.45153679539998
"140","Snowden_Hancock_N","Snowden","Hancock","N",3,26.08,3,12.0535596402059
"141","Snowden_Hancock_N","Snowden","Hancock","N",4,32.44,4,2.1801070310117
