"","Genotype","Soil_type.x","Block","Clade.x","Soil_inoculation","Sample_ID","Iteration","rep","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","Clade.y","Soil_type.y","Selection.y","avg","n","se","Response"
"243","Norkodah","Hancock","N1","M","R1_4","R1_2",2,"","N","A2",3,"",44.14,NA,44.14,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-1.165
"244","Norkodah","Hancock","N1","M","R1_6","R1_6",2,"","P","A6",3,"0.12",38.02,1.18,39.32,"",NA,NA,NA,NA,NA,"NO PLANT","M","Sterile","S",45.305,4,2.72746066271663,-7.285
"245","Norkodah","Hancock","N1","M","R1_6","R1_8",2,"","P","A8",3,"0.06",41.83,2.74,44.63,"",NA,NA,NA,NA,NA,"NO PLANT","M","Sterile","S",45.305,4,2.72746066271663,-3.475
"246","Norkodah","Hancock","N1","M","R1_6","R1_7",2,"","P","A7",3,"0.03",44.88,NA,44.91,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-0.424999999999997
"247","Norkodah","Hancock","N1","M","R1_6","R1_9",2,"","P","A9",3,"0.07",53.95,NA,54.02,"",NA,NA,NA,NA,NA,"NO PLANT","M","Sterile","S",45.305,4,2.72746066271663,8.645
"248","Norkodah","Sterile","N1","M","Sterile","R1_4",2,"","S","A4",3,"0.2",40.42,NA,40.62,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-4.885
"249","Norkodah","Sterile","N1","M","Sterile","R1_5",2,"","S","A5",3,"0.14",41.36,1.54,43.04,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-3.945
"250","Papa Cacho","Hancock","PC1","C","PC1_1","PC1_10",2,"","N","B10",3,"1.33",23.13,9.09,33.55,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,1.145
"251","Papa Cacho","Hancock","PC1","C","PC1_1","PC1_1",2,"","N","B1",3,"0.54",53.27,2.79,56.6,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,31.285
"252","Papa Cacho","Hancock","PC1","C","PC1_1","PC1_9",2,"","N","B9",3,"0.61",46.2,2.88,49.69,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,24.215
"253","Papa Cacho","Hancock","PC1","C","PC1_1","PC1_3",2,"","N","B3",3,"0.38",64.07,2.59,67.04,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,42.085
"254","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_7",2,"","P","B7",3,"1",39.3,4.29,44.59,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,17.315
"255","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_8",2,"","P","B8",3,"0.73",45.39,NA,46.12,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,23.405
"256","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_4",2,"","P","B4",3,"1.22",59.02,5.16,65.4,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,37.035
"257","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_5",2,"","P","B5",3,"0.28",60.35,NA,60.63,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,38.365
"258","Papa Cacho","Sterile","PC1","C","Sterile","PC1_2",2,"","S","B2",3,"0.55",31.07,2.69,34.31,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,9.085
"259","Papa Cacho","Sterile","PC1","C","Sterile","PC1_6",2,"","S","B6",3,"1.05",0,12.53,13.58,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,-21.985
"260","Papa Cacho","Winterfell","PC2","C","PC2_5","PC2_2",2,"","P","",NA,"1.14",52.1,5.01,58.25,"",NA,NA,NA,NA,NA,"","C","Sterile","S",21.985,4,13.7422126432876,30.115
"261","Burbank","Winterfell","B2","M","B2_6","B2_2",3,"","N","G11",1,"1.76",9.57,7.3,18.63,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-29.68
"262","Burbank","Winterfell","B2","M","B2_6","B2_5",3,"","N","C11",1,"1.92",0,10.63,12.55,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-39.25
"263","Burbank","Winterfell","B2","M","B2_6","B2_8",3,"","N","H11",1,"1.36",3.13,7.58,12.07,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-36.12
"264","Burbank","Winterfell","B2","M","B2_6","B2_9",3,"","N","F11",1,"1.52",12.1,8.04,21.66,"",NA,NA,NA,NA,NA,"","M","Sterile","S",39.25,1,NA,-27.15
