"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"CC1_5_5","Cor.C 95","Hancock","CC1","C","CC1_5","CC1_5","5","N","G5",1,"2.12",0,9.1,11.22,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",11,0,1.14154394829243,2.57173299907145
"CC1_6_3","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_6","3","N","A6",1,"0.11",0,1.3,1.41,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",13,0,1.33249336809783,2.65185469179118
"CC1_7_3","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_7","3","N","A7",1,"0.52",0,2.26,2.78,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",10,0,1.11530203115037,2.28201799027192
"CC1_7_5","Cor.C 95","Hancock","CC1","C","CC1_4","CC1_7","5","P","G7",1,"1.44",0.03,5.87,7.34,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.20666667,"Negative",15,0,1.22619914052085,2.67628020601664
"CC1_8_5","Cor.C 95","Hancock","CC1","C","CC1_4","CC1_8","5","P","G8",1,"2.18",7.41,8.11,17.7,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-6.826666667,"Negative",11,0,1.45512981395478,3.45538635964015
"CC1_9_3","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_9","3","P","A9",1,"0.58",0,4.5,5.08,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",17,0,1.60763214977063,4.132195464887
"CC1_9_5","Cor.C 95","Hancock","CC1","C","CC1_4","CC1_9","5","P","G9",1,"2.42",0,10.73,13.15,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",12,0,1.25725448306571,2.66629212720555
"CC2_1_5","Cor.C 95","Winterfell","CC2","C","CC2_2","CC2_1","5","P","C1",1,"2.39",0,10.18,12.57,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",10,0,1.20525084881794,2.81613356929211
"CC2_10_3","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_10","3","N","D10",1,"1.49",0,5.98,7.47,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",11,0,1.51700785540173,3.71605392992747
"CC2_10_5","Cor.C 95","Winterfell","CC2","C","CC2_4","CC2_10","5","N","C10",1,"1.28",0,6.74,8.02,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",13,0,1.31074653182215,2.9380234067812
"CC2_2_3","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_2","3","P","D2",1,"1.62",0,9.77,11.39,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",13,0,1.58732572367614,3.7744919176963
"CC2_2_4","Cor.C 95","Winterfell","CC2","C","CC2_2","CC2_2","4","P","F2",2,"0.42",19.11,1.75,21.28,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.9725,4,8.782117602,4.1375,"Positive",15,0,1.30831164188694,2.95558002942546
"CC2_3_3","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_3","3","N","D3",1,"1.39",0,7.07,8.46,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",12,0,1.42338147141438,3.48898415348631
